drugCode,productCategorization,class,DIN,brandName,descriptor,pediatricFlag,accessionNumber,numberOfAIs,lastUpdateDate,aIGroupNumber
"10000","","Veterinary","00813761","LINCOMIX","","N","69580","1","26-NOV-2015","0105826008"
"10001","","Veterinary","00813826","MGA 100 PREMIX","","N","69581","1","05-MAY-2015","0106337002"
"10008","","Human","00644579","IMIPRAMINE","","N","69610","1","13-MAY-2013","0103832004"
"10009","","Human","00799823","DIANEAL PD 101 CAPD SOLUTION W 2.5% DEXTROSE","","N","69611","5","28-MAY-2009","0500162043"
"10010","","Disinfectant","00804304","OMNISAN LIQ","","N","69638","2","29-SEP-2010","0205019002"
"10015","","Human","00012882","FLUOROURACIL INJECTION","","N","69645","1","05-MAY-2015","0107505001"
"10024","","Human","00860751","DOXYCIN TAB 100MG","","N","69666","1","16-JUL-2004","0105569001"
"10026","","Human","00808652","HALOPERIDOL INJ 5MG/ML USP","","N","69669","1","05-MAY-2015","0101774001"
"10030","","Veterinary","00813818","LINCO-SPECTIN 100","","N","69675","2","22-MAR-2016","0228437003"
"10031","","Veterinary","00682233","ANASED","","N","69676","1","01-DEC-2015","0131307001"
"10032","","Human","00743445","TEARS NATURALE II","","N","69677","2","20-FEB-2016","0228553001"
"10033","","Veterinary","00849340","OXYSOL-1000","","N","69678","1","20-NOV-2014","0105555010"
"10034","","Human","00782483","APO-VERAP TAB 80MG","","N","69679","1","06-FEB-2008","0113846002"
"10035","","Human","00784354","APO-NAPRO-NA TAB 275MG","","N","69680","1","09-MAR-2006","0113934001"
"10036","","Human","00839175","APO-DICLO","","N","69681","1","16-OCT-2014","0114417003"
"10037","","Human","00839183","APO-DICLO","","N","69682","1","16-OCT-2014","0114417002"
"10040","","Human","00060208","SODIUM CHLORIDE 0.9% INJ 900MG/100ML USP","","N","69686","1","15-OCT-2012","0100053002"
"10041","","Human","00438049","(20 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION USP","","N","69687","2","28-JUL-2015","0200305001"
"10042","","Human","00438030","(40 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION USP","","N","69688","2","07-MAY-2013","0200305003"
"10043","","Human","00503142","(20MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.2% SODIUM CHLORIDE INJECTION USP","","N","69689","3","07-MAY-2013","0300097004"
"10044","","Human","00437999","(20MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP","","N","69690","3","07-MAY-2013","0300097005"
"10045","","Human","00438006","(40MMOL/L)POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP","","N","69691","3","07-MAY-2013","0300097003"
"10052","","Human","00770957","PRAMOX HC CREAM","","N","69708","2","07-JUL-2015","0220065001"
"10054","","Human","00800813","DM SYRUP","","N","69716","1","29-APR-2015","0100807001"
"10062","","Human","00807435","OPTIMYXIN PLUS OTO-OPHT GTTE","","N","69729","3","29-APR-2015","0331392001"
"10063","","Human","00816078","VITAMIN B1","","N","69730","1","29-APR-2015","0108220001"
"10064","","Human","00816108","METHYLENE BLUE INJECTION USP","","N","69731","1","29-APR-2015","0106816001"
"10114","","Human","00774936","ACID CONCENTRATE 2116","","N","69793","5","28-MAY-2009","0517387076"
"10115","","Human","00774944","ACID CONCENTRATE 2117","","N","69794","6","28-MAY-2009","0617386366"
"10116","","Human","00852384","TRANSDERM-NITRO 0.4","","N","69797","1","09-APR-2010","0103615006"
"10117","","Human","00725250","TEVA-DOXYCYCLINE","","N","69798","1","05-MAY-2015","0105569001"
"10128","","Human","00786047","JAA PYRAL 35 TABLET 35MG","","N","69827","1","05-AUG-2005","0108709002"
"10134","","Human","00842664","KETOPROFEN-E","","N","69836","1","10-APR-2012","0110497002"
"10135","","Human","00790435","KETOPROFEN-E","","N","69837","1","05-MAY-2015","0110497001"
"10136","","Human","00790427","KETOPROFEN","","N","69838","1","21-MAR-2013","0110497001"
"10141","","Human","00509906","X-SEB T SHAMPOO","","N","69843","2","12-JUL-2012","0202927002"
"10143","","Human","00799807","DIANEAL PD 101 CAPD SOLUTION W 4.25% DEXTROSE","","N","69845","5","27-JAN-2010","0500162041"
"10144","","Human","00799815","DIANEAL PD 101 CAPD SOLUTION W 1.5% DEXTROSE","","N","69846","5","28-MAY-2009","0500162042"
"1016","","Disinfectant","00053236","HIBITANE DISINFECTANT","","N","34123","1","02É-MAR-2016","0107805009"
"10165","","Veterinary","00813559","LINCOMIX 44 PREMIX","","N","69873","1","10-OCT-2014","0105826007"
"10166","","Veterinary","00813648","LINCOMIX 110 PREMIX","","N","69874","1","25-JUL-2014","0105826004"
"10168","","Veterinary","00813907","L-S 20 PREMIX","","N","69876","2","05-MAY-2015","0228437002"
"10169","","Human","00807788","BLEPHAMIDE OPHT SUSPENSION","","N","69880","2","29-NOV-2005","0206094001"
"10173","","Human","00786535","DILAUDID","","N","69886","1","25-MAY-2009","0108698004"
"10177","","Human","00788422","BAXEDIN LIQ 0.05%","","N","69891","1","29-APR-2015","0107629005"
"10186","","Veterinary","00652806","UNI-CORT INJ 200MCG/ML","","N","69903","1","12-APR-1999","0106344005"
"10188","","Human","00843792","EXTRA STRENGTH NEOCITRAN COLD & CONGESTION","","N","69907","2","04-MAR-2016","0217793001"
"10200","","Human","00472468","APO ASA TAB 325MG","","N","69937","1","11-JUL-2012","0101169001"
"10211","","Human","00862975","DIPROLENE","","N","69957","1","13-MAY-2013","0106299003"
"10217","","Human","00623709","STOMAAX PLUS","","N","69968","3","22-OCT-2012","0301453001"
"10222","","Veterinary","00813869","PREDEF 2X","","N","69974","1","29-OCT-2015","0116291001"
"10224","","Veterinary","00813745","LINCOMIX 100","","N","69976","1","26-MAR-2015","0105826005"
"10225","","Veterinary","00813842","MITABAN","LIQUID CONCENTRATE","N","69977","1","05-MAY-2015","0116167001"
"10226","","Veterinary","00769959","YOBINE INJECTABLE","","N","69978","1","01-DEC-2015","0107297001"
"1025","","Human","00095494","ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE","","N","34359","3","15-NOV-2013","0301235001"
"10294","","Human","00441643","APO-IBUPROFEN TAB 200MG","","N","70049","1","11-JUL-2012","0108883004"
"1030","","Human","00021520","NOVO-PRAMINE TAB 50MG","","N","34499","1","26-FEB-2002","0103832001"
"10300","","Veterinary","00755753","SUROLAN","DROPS","N","70062","3","08-FEB-2016","0318442003"
"1031","","Human","00021504","NOVO-PRAMINE TAB 10MG","","N","34500","1","26-FEB-2002","0103832003"
"10312","","Human","00816086","FOLIC ACID INJECTION USP","","N","70081","1","29-APR-2015","0108418001"
"10314","","Human","00745790","WHITE PETROLEUM JELLY 100% BP","","N","70083","1","29-OCT-2013","0108784002"
"10316","","Human","00809055","TEVA-DOCUSATE CALCIUM","","N","70086","1","30-APR-2015","0117478001"
"10318","","Human","00836273","LUPRON DEPOT","","N","70088","1","24-APR-2014","0116959002"
"1032","","Human","00021512","NOVO-PRAMINE TAB 25MG","","N","34501","1","26-FEB-2002","0103832002"
"1033","","Human","00021555","NOVO-NIDAZOL TAB 250MG","","N","34502","1","02-MAY-2005","0102572001"
"1036","","Human","00022772","DILANTIN - 30MG","","N","34634","1","29-APR-2015","0101375001"
"1037","","Human","00022780","DILANTIN - 100MG","","N","34635","1","17-MAY-2011","0101375002"
"10382","","Veterinary","00813567","EXCENEL","","N","70196","1","09-APR-2015","0119705001"
"10383","","Human","00874256","APO-DOXY TABS 100MG","","N","70197","1","06-FEB-2008","0105569001"
"10387","","Veterinary","00797103","TEAT GUARD LIQUID 14.6%","","N","70204","1","04-AUG-2004","0108721004"
"10391","","Human","00860808","RATIO-SALBUTAMOL","","N","70215","1","05-MAY-2015","0108887006"
"10393","","Human","00749834","TOPIDERM HC 2%","","N","70218","1","29-APR-2015","0131221004"
"10394","","Human","00862924","TEVA-DILTIAZEM","","N","70219","1","05-MAY-2015","0115863001"
"10395","","Human","00862932","TEVA-DILTIAZEM","","N","70220","1","05-MAY-2015","0115863002"
"10398","","Human","00584991","PMS-METHYLPHENIDATE","","N","70226","1","09-JUL-2015","0107548001"
